Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GAT,0.09342408180236816,0.08182287216186523,0.6911666666666667
False,16,50,2,0.001,Fair_Attention_MP_GCN,0.05846118927001953,0.06384110450744629,0.559
False,16,50,2,0.01,GAT,0.18199917674064636,0.18245238065719604,0.6311666666666667
False,16,50,2,0.01,Fair_Attention_MP_GCN,0.00014638900756835938,0.00014013051986694336,0.7888333333333334
False,16,50,2,0.1,GAT,0.0005891323089599609,0.0003361701965332031,0.7891666666666667
False,16,50,2,0.1,Fair_Attention_MP_GCN,0.014807939529418945,0.01682227849960327,0.7748333333333334
False,16,50,4,0.001,GAT,0.012795627117156982,0.0009893178939819336,0.5253333333333333
False,16,50,4,0.001,Fair_Attention_MP_GCN,0.0429721474647522,0.04423248767852783,0.7483333333333333
False,16,50,4,0.01,GAT,0.06982302665710449,0.07134479284286499,0.7186666666666667
False,16,50,4,0.01,Fair_Attention_MP_GCN,0.0,0.0,0.789
False,16,50,4,0.1,GAT,3.653764724731445e-05,4.673004150390625e-05,0.789
False,16,50,4,0.1,Fair_Attention_MP_GCN,0.00040268898010253906,0.00046712160110473633,0.789
False,16,100,2,0.001,GAT,0.027725815773010254,0.037834763526916504,0.731
False,16,100,2,0.001,Fair_Attention_MP_GCN,0.00796520709991455,0.004513941705226898,0.2725
False,16,100,2,0.01,GAT,0.006285607814788818,0.006752610206604004,0.7728333333333334
False,16,100,2,0.01,Fair_Attention_MP_GCN,0.01162731647491455,0.004406571388244629,0.7906666666666666
False,16,100,2,0.1,GAT,0.0,0.0,0.789
False,16,100,2,0.1,Fair_Attention_MP_GCN,0.0031161904335021973,0.0006447434425354004,0.791
False,16,100,4,0.001,GAT,0.0,0.0,0.789
False,16,100,4,0.001,Fair_Attention_MP_GCN,0.0005857348442077637,0.0005605220794677734,0.7883333333333333
False,16,100,4,0.01,GAT,0.00223463773727417,0.002557516098022461,0.7888333333333334
False,16,100,4,0.01,Fair_Attention_MP_GCN,0.0005490779876708984,0.0005138516426086426,0.7885
False,16,100,4,0.1,GAT,0.0,0.0,0.789
False,16,100,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.789
False,16,200,2,0.001,GAT,0.0708470344543457,0.09284442663192749,0.6251666666666666
False,16,200,2,0.001,Fair_Attention_MP_GCN,0.26408207416534424,0.2670815587043762,0.5631666666666667
False,16,200,2,0.01,GAT,0.04153388738632202,0.024532794952392578,0.7995
False,16,200,2,0.01,Fair_Attention_MP_GCN,0.03175163269042969,0.020992696285247803,0.8081666666666667
False,16,200,2,0.1,GAT,0.014422833919525146,0.014302253723144531,0.7771666666666667
False,16,200,2,0.1,Fair_Attention_MP_GCN,0.00036603212356567383,0.0003737211227416992,0.7886666666666666
False,16,200,4,0.001,GAT,0.00896674394607544,0.009851515293121338,0.7531666666666667
False,16,200,4,0.001,Fair_Attention_MP_GCN,0.0002689957618713379,0.0006026029586791992,0.7883333333333333
False,16,200,4,0.01,GAT,0.018118083477020264,0.028767526149749756,0.7416666666666667
False,16,200,4,0.01,Fair_Attention_MP_GCN,0.0029712915420532227,0.0006088614463806152,0.7958333333333333
False,16,200,4,0.1,GAT,7.319450378417969e-05,4.673004150390625e-05,0.789
False,16,200,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.789
False,16,500,2,0.001,GAT,0.09133052825927734,0.10001182556152344,0.6705
False,16,500,2,0.001,Fair_Attention_MP_GCN,0.024119019508361816,0.0102463960647583,0.8003333333333333
False,16,500,2,0.01,GAT,0.033872783184051514,0.02274388074874878,0.806
False,16,500,2,0.01,Fair_Attention_MP_GCN,0.006598234176635742,0.003890812397003174,0.8051666666666667
False,16,500,2,0.1,GAT,0.0,0.0,0.789
False,16,500,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.789
False,16,500,4,0.001,GAT,0.05107128620147705,0.034944355487823486,0.7898333333333334
False,16,500,4,0.001,Fair_Attention_MP_GCN,0.007953345775604248,0.005074441432952881,0.7936666666666666
False,16,500,4,0.01,GAT,0.02816593647003174,0.023456811904907227,0.8038333333333333
False,16,500,4,0.01,Fair_Attention_MP_GCN,0.008549988269805908,0.004876911640167236,0.7906666666666666
False,16,500,4,0.1,GAT,0.0,0.0,0.789
False,16,500,4,0.1,Fair_Attention_MP_GCN,3.653764724731445e-05,4.673004150390625e-05,0.789
False,32,50,2,0.001,GAT,0.03225022554397583,0.033609867095947266,0.7493333333333333
False,32,50,2,0.001,Fair_Attention_MP_GCN,0.014627397060394287,0.012426793575286865,0.7736666666666666
False,32,50,2,0.01,GAT,0.005719363689422607,0.008373498916625977,0.776
False,32,50,2,0.01,Fair_Attention_MP_GCN,0.0346563458442688,0.04135096073150635,0.5433333333333333
False,32,50,2,0.1,GAT,0.00036603212356567383,0.00014013051986694336,0.789
False,32,50,2,0.1,Fair_Attention_MP_GCN,0.0005413293838500977,0.00048089027404785156,0.7866666666666666
False,32,50,4,0.001,GAT,0.03401005268096924,0.0020697712898254395,0.6803333333333333
False,32,50,4,0.001,Fair_Attention_MP_GCN,0.0901862382888794,0.08792799711227417,0.738
False,32,50,4,0.01,GAT,0.00568777322769165,0.014642953872680664,0.725
False,32,50,4,0.01,Fair_Attention_MP_GCN,0.00014638900756835938,0.0001868605613708496,0.7888333333333334
False,32,50,4,0.1,GAT,0.0,0.0,0.789
