Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GCN,0.0,0.0,0.695
False,16,50,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,50,2,0.01,GCN,0.0014492273330688477,0.002003967761993408,0.695
False,16,50,2,0.01,FairMP_GCN,0.0,0.0,0.695
False,16,50,2,0.1,GCN,0.0,0.0,0.695
False,16,50,2,0.1,FairMP_GCN,0.001776576042175293,0.00497514009475708,0.695
False,16,50,4,0.001,GCN,0.0,0.0,0.695
False,16,50,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,50,4,0.01,GCN,0.0,0.0,0.695
False,16,50,4,0.01,FairMP_GCN,0.0032258033752441406,0.00497514009475708,0.695
False,16,50,4,0.1,GCN,0.0,0.0,0.695
False,16,50,4,0.1,FairMP_GCN,0.0014492273330688477,0.0,0.695
False,16,100,2,0.001,GCN,0.009163141250610352,0.016101837158203125,0.675
False,16,100,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,100,2,0.01,GCN,0.0,0.0,0.695
False,16,100,2,0.01,FairMP_GCN,0.009677410125732422,0.01492542028427124,0.69
False,16,100,2,0.1,GCN,0.0,0.0,0.695
False,16,100,2,0.1,FairMP_GCN,0.03870970010757446,0.04477614164352417,0.67
False,16,100,4,0.001,GCN,0.005002379417419434,0.002971172332763672,0.69
False,16,100,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,100,4,0.01,GCN,0.0014492273330688477,0.002003967761993408,0.695
False,16,100,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,16,100,4,0.1,GCN,0.0,0.0,0.695
False,16,100,4,0.1,FairMP_GCN,0.0,0.0,0.695
False,16,200,2,0.001,GCN,0.0,0.0,0.305
False,16,200,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,200,2,0.01,GCN,0.0,0.0,0.695
False,16,200,2,0.01,FairMP_GCN,0.006451606750488281,0.00995028018951416,0.69
False,16,200,2,0.1,GCN,0.0,0.0,0.695
False,16,200,2,0.1,FairMP_GCN,0.001776576042175293,0.00497514009475708,0.695
False,16,200,4,0.001,GCN,0.0,0.0,0.695
False,16,200,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,16,200,4,0.01,GCN,0.0,0.0,0.695
False,16,200,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,16,200,4,0.1,GCN,0.0,0.0,0.695
False,16,200,4,0.1,FairMP_GCN,0.0009818077087402344,0.005942285060882568,0.69
False,16,500,2,0.001,GCN,0.030995726585388184,0.010299205780029297,0.695
False,16,500,2,0.001,FairMP_GCN,0.01467984914779663,0.012921452522277832,0.69
False,16,500,2,0.01,GCN,0.0014492273330688477,0.002003967761993408,0.695
False,16,500,2,0.01,FairMP_GCN,0.005469799041748047,0.002971172332763672,0.695
False,16,500,2,0.1,GCN,0.0,0.0,0.695
False,16,500,2,0.1,FairMP_GCN,0.0,0.0,0.695
False,16,500,4,0.001,GCN,0.0,0.0,0.305
False,16,500,4,0.001,FairMP_GCN,0.0032258033752441406,0.00497514009475708,0.695
False,16,500,4,0.01,GCN,0.0,0.0,0.695
False,16,500,4,0.01,FairMP_GCN,0.0011219978332519531,0.0,0.695
False,16,500,4,0.1,GCN,0.0,0.0,0.695
False,16,500,4,0.1,FairMP_GCN,0.0032258033752441406,0.00497514009475708,0.695
False,32,50,2,0.001,GCN,0.0,0.0,0.695
False,32,50,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,50,2,0.01,GCN,0.0,0.0,0.695
False,32,50,2,0.01,FairMP_GCN,0.0,0.0,0.695
False,32,50,2,0.1,GCN,0.0,0.0,0.695
False,32,50,2,0.1,FairMP_GCN,0.0,0.0,0.695
False,32,50,4,0.001,GCN,0.0019167838618159294,0.006081815809011459,0.325
False,32,50,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,50,4,0.01,GCN,0.0,0.0,0.305
False,32,50,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,32,50,4,0.1,GCN,0.0,0.0,0.695
False,32,50,4,0.1,FairMP_GCN,0.0014492273330688477,0.0,0.695
False,32,100,2,0.001,GCN,0.0014492273330688477,0.002003967761993408,0.695
False,32,100,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,100,2,0.01,GCN,0.0,0.0,0.695
False,32,100,2,0.01,FairMP_GCN,0.0,0.0,0.695
False,32,100,2,0.1,GCN,0.0,0.0,0.695
False,32,100,2,0.1,FairMP_GCN,0.006778895854949951,0.01492542028427124,0.69
False,32,100,4,0.001,GCN,0.005002337507903576,0.0029711162205785513,0.31
False,32,100,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,100,4,0.01,GCN,0.0,0.0,0.695
False,32,100,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,32,100,4,0.1,GCN,0.0,0.0,0.695
False,32,100,4,0.1,FairMP_GCN,0.0014492273330688477,0.0,0.695
False,32,200,2,0.001,GCN,0.0,0.0,0.695
False,32,200,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,200,2,0.01,GCN,0.0,0.0,0.695
False,32,200,2,0.01,FairMP_GCN,0.0011219978332519531,0.00497514009475708,0.7
False,32,200,2,0.1,GCN,0.0,0.0,0.695
False,32,200,2,0.1,FairMP_GCN,0.004534900188446045,0.019900500774383545,0.69
False,32,200,4,0.001,GCN,0.0,0.0,0.695
False,32,200,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,200,4,0.01,GCN,0.0,0.0,0.695
False,32,200,4,0.01,FairMP_GCN,0.002571284770965576,0.0010368824005126953,0.69
False,32,200,4,0.1,GCN,0.0,0.0,0.695
False,32,200,4,0.1,FairMP_GCN,0.018232882022857666,0.019900500774383545,0.69
False,32,500,2,0.001,GCN,0.0014492754125967622,0.0020040080416947603,0.305
False,32,500,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,500,2,0.01,GCN,0.0,0.0,0.695
False,32,500,2,0.01,FairMP_GCN,0.005142569541931152,0.003938257694244385,0.695
False,32,500,2,0.1,GCN,0.0,0.0,0.695
False,32,500,2,0.1,FairMP_GCN,0.0,0.0,0.695
False,32,500,4,0.001,GCN,0.02823750674724579,0.0313163697719574,0.43
False,32,500,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,32,500,4,0.01,GCN,0.0,0.0,0.695
False,32,500,4,0.01,FairMP_GCN,0.0028985142707824707,0.0,0.695
False,32,500,4,0.1,GCN,0.0,0.0,0.695
False,32,500,4,0.1,FairMP_GCN,0.03791499137878418,0.01388847827911377,0.705
False,64,50,2,0.001,GCN,0.0,0.0,0.695
False,64,50,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,50,2,0.01,GCN,0.0,0.0,0.695
False,64,50,2,0.01,FairMP_GCN,0.0,0.0,0.695
False,64,50,2,0.1,GCN,0.0,0.0,0.695
False,64,50,2,0.1,FairMP_GCN,0.0014492273330688477,0.0,0.695
False,64,50,4,0.001,GCN,0.0,0.0,0.695
False,64,50,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,50,4,0.01,GCN,0.0014492754125967622,0.0020040080416947603,0.305
False,64,50,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,64,50,4,0.1,GCN,0.0,0.0,0.695
False,64,50,4,0.1,FairMP_GCN,0.001776576042175293,0.00497514009475708,0.695
False,64,100,2,0.001,GCN,0.0,0.0,0.695
False,64,100,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,100,2,0.01,GCN,0.0,0.0,0.695
False,64,100,2,0.01,FairMP_GCN,0.01467984914779663,0.012921452522277832,0.69
False,64,100,2,0.1,GCN,0.0,0.0,0.695
False,64,100,2,0.1,FairMP_GCN,0.011453986167907715,0.01492542028427124,0.69
False,64,100,4,0.001,GCN,0.006872296333312988,0.004765808582305908,0.69
False,64,100,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,100,4,0.01,GCN,0.0,0.0,0.695
False,64,100,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,64,100,4,0.1,GCN,0.0,0.0,0.695
False,64,100,4,0.1,FairMP_GCN,0.0014492273330688477,0.0,0.695
False,64,200,2,0.001,GCN,0.0,0.0,0.695
False,64,200,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,200,2,0.01,GCN,0.0,0.0,0.695
False,64,200,2,0.01,FairMP_GCN,0.0011219978332519531,0.00497514009475708,0.7
False,64,200,2,0.1,GCN,0.0,0.0,0.695
False,64,200,2,0.1,FairMP_GCN,0.0,0.0,0.695
False,64,200,4,0.001,GCN,0.008087890222668648,0.013818681240081787,0.32
False,64,200,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,200,4,0.01,GCN,0.0,0.0,0.695
False,64,200,4,0.01,FairMP_GCN,0.0,0.0,0.695
False,64,200,4,0.1,GCN,0.0,0.0,0.695
False,64,200,4,0.1,FairMP_GCN,0.0053296685218811035,0.017627239227294922,0.68
False,64,500,2,0.001,GCN,0.054277703166007996,0.012861542403697968,0.315
False,64,500,2,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,500,2,0.01,GCN,0.0,0.0,0.695
False,64,500,2,0.01,FairMP_GCN,0.028564810752868652,0.025842785835266113,0.685
False,64,500,2,0.1,GCN,0.0,0.0,0.695
False,64,500,2,0.1,FairMP_GCN,0.008228182792663574,0.00995028018951416,0.695
False,64,500,4,0.001,GCN,0.0014025568962097168,0.0692828893661499,0.605
False,64,500,4,0.001,FairMP_GCN,0.0,0.0,0.695
False,64,500,4,0.01,GCN,0.0,0.0,0.695
False,64,500,4,0.01,FairMP_GCN,0.009209990501403809,0.007946312427520752,0.69
False,64,500,4,0.1,GCN,0.0,0.0,0.695
False,64,500,4,0.1,FairMP_GCN,0.060495615005493164,0.038764119148254395,0.68
