Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GAT,0.0,0.0,0.695
False,16,50,2,0.001,Fair_Attention_MP_GCN,0.0014492273330688477,0.0,0.7
False,16,50,2,0.01,GAT,0.0,0.0,0.695
False,16,50,2,0.01,Fair_Attention_MP_GCN,0.012061715126037598,0.003110647201538086,0.685
False,16,50,2,0.1,GAT,0.0,0.0,0.695
False,16,50,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,50,4,0.001,GAT,0.0,0.0,0.695
False,16,50,4,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,50,4,0.01,GAT,0.0,0.0,0.695
False,16,50,4,0.01,Fair_Attention_MP_GCN,0.0028985142707824707,0.002003967761993408,0.69
False,16,50,4,0.1,GAT,0.0,0.0,0.695
False,16,50,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,100,2,0.001,GAT,0.07755964994430542,0.07600277662277222,0.63
False,16,100,2,0.001,Fair_Attention_MP_GCN,0.02529221773147583,0.10099804401397705,0.51
False,16,100,2,0.01,GAT,0.0,0.0,0.695
False,16,100,2,0.01,Fair_Attention_MP_GCN,0.08013087511062622,0.05335044860839844,0.7
False,16,100,2,0.1,GAT,0.0,0.0,0.695
False,16,100,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,100,4,0.001,GAT,0.0,0.0,0.695
False,16,100,4,0.001,Fair_Attention_MP_GCN,0.007433414459228516,0.013370037078857422,0.47
False,16,100,4,0.01,GAT,0.012763023376464844,0.018793880939483643,0.685
False,16,100,4,0.01,Fair_Attention_MP_GCN,0.09275364875793457,0.11170598864555359,0.505
False,16,100,4,0.1,GAT,0.0,0.0,0.695
False,16,100,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,200,2,0.001,GAT,0.0003272891044616699,0.002003967761993408,0.7
False,16,200,2,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,200,2,0.01,GAT,0.0014492273330688477,0.002003967761993408,0.695
False,16,200,2,0.01,Fair_Attention_MP_GCN,0.03627863526344299,0.03589269518852234,0.48
False,16,200,2,0.1,GAT,0.0,0.0,0.695
False,16,200,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,200,4,0.001,GAT,0.0,0.0,0.695
False,16,200,4,0.001,Fair_Attention_MP_GCN,0.005797088146209717,0.004007995128631592,0.69
False,16,200,4,0.01,GAT,0.0032258033752441406,0.0,0.695
False,16,200,4,0.01,Fair_Attention_MP_GCN,0.0021038055419921875,0.0010368824005126953,0.69
False,16,200,4,0.1,GAT,0.0,0.0,0.695
False,16,200,4,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,500,2,0.001,GAT,0.00186997652053833,0.0012462139129638672,0.695
False,16,500,2,0.001,Fair_Attention_MP_GCN,0.09714818000793457,0.07873451709747314,0.525
False,16,500,2,0.01,GAT,0.019915878772735596,0.023479819297790527,0.66
False,16,500,2,0.01,Fair_Attention_MP_GCN,0.06358116865158081,0.052652597427368164,0.69
False,16,500,2,0.1,GAT,0.0032258033752441406,0.0,0.695
False,16,500,2,0.1,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,500,4,0.001,GAT,0.0,0.0,0.695
False,16,500,4,0.001,Fair_Attention_MP_GCN,0.0,0.0,0.695
False,16,500,4,0.01,GAT,0.0036932826042175293,0.008015990257263184,0.69
False,16,500,4,0.01,Fair_Attention_MP_GCN,0.0009818077087402344,0.005942285060882568,0.7
False,16,500,4,0.1,GAT,0.0,0.0,0.695
False,16,500,4,0.1,Fair_Attention_MP_GCN,0.05100518465042114,0.052652597427368164,0.68
False,32,50,2,0.001,GAT,0.0,0.0,0.695
False,32,50,2,0.001,Fair_Attention_MP_GCN,0.023468971252441406,0.047717392444610596,0.515
False,32,50,2,0.01,GAT,0.022019684314727783,0.01658046245574951,0.695
