Fairness,dimensions,epochs,layers,learning_rate,model,parity,equality,Accuracy
False,16,50,2,0.001,GCN,0.0,0.0,0.851401179941003
False,16,50,2,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,50,2,0.01,GCN,0.001382207963615656,0.011840971186757088,0.8519911504424779
False,16,50,2,0.01,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,50,2,0.1,GCN,0.0,0.0,0.851401179941003
False,16,50,2,0.1,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.001,GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.01,GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.01,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.1,GCN,0.0,0.0,0.851401179941003
False,16,50,4,0.1,FairMP_GCN,0.0006197156035341322,0.0009625620441511273,0.8503687315634219
False,16,100,2,0.001,GCN,0.0,0.0,0.851401179941003
False,16,100,2,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,100,2,0.01,GCN,0.002840639092028141,0.019927222281694412,0.8516961651917404
False,16,100,2,0.01,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,100,2,0.1,GCN,0.0,0.0,0.851401179941003
False,16,100,2,0.1,FairMP_GCN,6.116682197898626e-05,0.0003975709551014006,0.851401179941003
False,16,100,4,0.001,GCN,0.0005165919428691268,0.0019530273275449872,0.851401179941003
False,16,100,4,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,100,4,0.01,GCN,0.0027674008160829544,0.02115476503968239,0.85
False,16,100,4,0.01,FairMP_GCN,0.00018551229732111096,0.00015112588880583644,0.8511799410029498
False,16,100,4,0.1,GCN,0.0,0.0,0.851401179941003
False,16,100,4,0.1,FairMP_GCN,0.0005828207940794528,0.00048128102207556367,0.8505899705014749
False,16,200,2,0.001,GCN,0.002916569821536541,0.021312812343239784,0.8505899705014749
False,16,200,2,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
False,16,200,2,0.01,GCN,0.003190993331372738,0.022156836465001106,0.85
False,16,200,2,0.01,FairMP_GCN,0.0003356549423187971,0.0016460905317217112,0.8515486725663717
False,16,200,2,0.1,GCN,0.0,0.0,0.851401179941003
False,16,200,2,0.1,FairMP_GCN,0.002486845012754202,0.00365513376891613,0.85
False,16,200,4,0.001,GCN,0.004208082798868418,0.024990957230329514,0.8501474926253687
False,16,200,4,0.001,FairMP_GCN,0.054815709590911865,0.05971646308898926,0.7131268436578171
False,16,200,4,0.01,GCN,0.0033633317798376083,0.021461699157953262,0.8506637168141593
False,16,200,4,0.01,FairMP_GCN,0.0006575838197022676,0.0007929033599793911,0.8511061946902655
False,16,200,4,0.1,GCN,0.0,0.0,0.851401179941003
False,16,200,4,0.1,FairMP_GCN,0.00032235030084848404,0.0022039497271180153,0.8480825958702065
False,16,500,2,0.001,GCN,0.0018611913546919823,0.015360649675130844,0.8484513274336283
False,16,500,2,0.001,FairMP_GCN,0.0,0.0,0.851401179941003
